severity,issue_class,subject,issue_type,scan_performed_on,status,insight,detection_method,risk,recommended_action
Moderate,Reduce skip rules for improved protection,sherohq.com,Configuration suggestion,2026-06-19T01:12:19.984048Z,Active,,,,"Review and remove not needed security rules having the ""skip"" action.. "
Moderate,Unproxied CNAME Record detected,email.sherohq.com,Exposed infrastructure,2026-07-07T04:08:09.979861Z,Active,"Unproxied CNAME Record detected. The DNS CNAME record for <b>%{domain}</b> is currently set to DNS-only. While it points to an external alias, it prevents Cloudflare from masking the connection path and allows traffic to bypass Cloudflare’s security. With <b>%{dns_queries}</b> queries observed in the last period, this hostname is active and visible. Attackers can resolve the CNAME chain to identify your infrastructure's provider and launch targeted attacks.",We reviewed your Cloudflare DNS settings and checked whether your hostname accepts connections on either port 80 or 443.,Vulnerable to DDoS attack,"Configure Cloudflare to proxy the DNS record. Switch the toggle to ""Proxied"" (Orange Cloud) in your DNS settings. With a DNS TTL of <b>%{dns_ttl}</b> seconds, this protection will take effect within that timeframe, ensuring Cloudflare's edge handles the request and provides DDoS protection for the <b>%{dns_queries}</b> queries hitting this record."
Moderate,Dangling A Record detected,healin.sherohq.com,Insecure configuration,2026-07-07T04:08:09.167951Z,Active,"Dangling A Record detected. The DNS A record for <b>%{domain}</b> is pointing to a resource (<b>%{dns_record_content}</b> at <b>%{asn_name}</b>) that appears to be inactive or no longer under your control. If an attacker claims the abandoned resource at <b>%{asn_name}</b>, they can host malicious content on your subdomain. Given the current DNS time to live (TTL) of <b>%{dns_ttl}</b>, a change in ownership could propagate quickly before detection.",We have detected other hostnames that resolve to this IP address. The server accepts HTTP or HTTPS connections and does not respond to your hostname that points to this IP address.,Vulnerable to subdomain takeover,"Remove this DNS record if the service is no longer in use, or update it to point to an active, verified resource.. "
Moderate,Unproxied A Record detected,healin.sherohq.com,Exposed infrastructure,2026-07-07T04:08:09.167968Z,Active,"Unproxied A Record detected. The DNS A record for <b>%{domain}</b> is currently set to DNS-only. Because traffic is routed directly to your origin server at <b>%{asn_name}</b>, your backend IP address is publicly visible. With <b>%{dns_queries}</b> queries observed in the last period, this hostname is a known entry point. An attacker can bypass Cloudflare to target your origin IP directly.",We reviewed your Cloudflare DNS settings and checked whether your hostname accepts connections on either port 80 or 443.,Vulnerable to DDoS attack,"Configure Cloudflare to proxy the DNS record. Switch the toggle to ""Proxied"" (Orange Cloud) in your DNS settings. With a DNS TTL of <b>%{dns_ttl}</b> seconds, this protection will take effect within that timeframe, ensuring Cloudflare's edge handles the request and provides DDoS protection for the <b>%{dns_queries}</b> queries hitting this record."
Moderate,Unproxied CNAME Record detected,pharmasyst.sherohq.com,Exposed infrastructure,2026-07-07T04:08:09.167678Z,Active,"Unproxied CNAME Record detected. The DNS CNAME record for <b>%{domain}</b> is currently set to DNS-only. While it points to an external alias, it prevents Cloudflare from masking the connection path and allows traffic to bypass Cloudflare’s security. With <b>%{dns_queries}</b> queries observed in the last period, this hostname is active and visible. Attackers can resolve the CNAME chain to identify your infrastructure's provider and launch targeted attacks.",We reviewed your Cloudflare DNS settings and checked whether your hostname accepts connections on either port 80 or 443.,Vulnerable to DDoS attack,"Configure Cloudflare to proxy the DNS record. Switch the toggle to ""Proxied"" (Orange Cloud) in your DNS settings. With a DNS TTL of <b>%{dns_ttl}</b> seconds, this protection will take effect within that timeframe, ensuring Cloudflare's edge handles the request and provides DDoS protection for the <b>%{dns_queries}</b> queries hitting this record."
Low,DMARC Record Error detected,sherohq.com,Email Security,2026-07-07T04:08:08.776065Z,Active,"DMARC Record Error detected. Your email authentication records for <b>%{domain}</b> are missing or incorrectly configured. This is evaluated alongside your mail server at <b>%{mx_name}</b>. Without valid records, attackers can send fraudulent emails appearing to come from your domain. Furthermore, legitimate emails may be flagged as spam by recipients using strict verification.","In your DNS records, you have an MX record for this domain without a corresponding, correctly formed DMARC record.",Attackers can spoof your email domain,"Update your DNS settings. Update your DNS settings with a valid DMARC policy to authorize <b>%{mx_name}</b>. With a DNS TTL of <b>%{dns_ttl}</b> seconds, this change will take effect within that timeframe, protecting your domain's reputation."
Low,DMARC Record Error detected,sherohq.com,Email Security,2026-07-07T04:08:08.778901Z,Active,"DMARC Record Error detected. Your email authentication records for <b>%{domain}</b> are missing or incorrectly configured. This is evaluated alongside your mail server at <b>%{mx_name}</b>. Without valid records, attackers can send fraudulent emails appearing to come from your domain. Furthermore, legitimate emails may be flagged as spam by recipients using strict verification.","In your DNS records, you have an MX record for this domain without a corresponding, correctly formed DMARC record.",Attackers can spoof your email domain,"Update your DNS settings. Update your DNS settings with a valid DMARC policy to authorize <b>%{mx_name}</b>. With a DNS TTL of <b>%{dns_ttl}</b> seconds, this change will take effect within that timeframe, protecting your domain's reputation."
Low,DMARC Record Error detected,sherohq.com,Email Security,2026-07-07T04:08:08.786612Z,Active,"DMARC Record Error detected. Your email authentication records for <b>%{domain}</b> are missing or incorrectly configured. This is evaluated alongside your mail server at <b>%{mx_name}</b>. Without valid records, attackers can send fraudulent emails appearing to come from your domain. Furthermore, legitimate emails may be flagged as spam by recipients using strict verification.","In your DNS records, you have an MX record for this domain without a corresponding, correctly formed DMARC record.",Attackers can spoof your email domain,"Update your DNS settings. Update your DNS settings with a valid DMARC policy to authorize <b>%{mx_name}</b>. With a DNS TTL of <b>%{dns_ttl}</b> seconds, this change will take effect within that timeframe, protecting your domain's reputation."
Moderate,Unproxied CNAME Record detected,smartboutique.sherohq.com,Exposed infrastructure,2026-07-07T04:08:09.067693Z,Active,"Unproxied CNAME Record detected. The DNS CNAME record for <b>%{domain}</b> is currently set to DNS-only. While it points to an external alias, it prevents Cloudflare from masking the connection path and allows traffic to bypass Cloudflare’s security. With <b>%{dns_queries}</b> queries observed in the last period, this hostname is active and visible. Attackers can resolve the CNAME chain to identify your infrastructure's provider and launch targeted attacks.",We reviewed your Cloudflare DNS settings and checked whether your hostname accepts connections on either port 80 or 443.,Vulnerable to DDoS attack,"Configure Cloudflare to proxy the DNS record. Switch the toggle to ""Proxied"" (Orange Cloud) in your DNS settings. With a DNS TTL of <b>%{dns_ttl}</b> seconds, this protection will take effect within that timeframe, ensuring Cloudflare's edge handles the request and provides DDoS protection for the <b>%{dns_queries}</b> queries hitting this record."
Moderate,Unproxied CNAME Record detected,url121.sherohq.com,Exposed infrastructure,2026-07-07T04:08:08.952244Z,Active,"Unproxied CNAME Record detected. The DNS CNAME record for <b>%{domain}</b> is currently set to DNS-only. While it points to an external alias, it prevents Cloudflare from masking the connection path and allows traffic to bypass Cloudflare’s security. With <b>%{dns_queries}</b> queries observed in the last period, this hostname is active and visible. Attackers can resolve the CNAME chain to identify your infrastructure's provider and launch targeted attacks.",We reviewed your Cloudflare DNS settings and checked whether your hostname accepts connections on either port 80 or 443.,Vulnerable to DDoS attack,"Configure Cloudflare to proxy the DNS record. Switch the toggle to ""Proxied"" (Orange Cloud) in your DNS settings. With a DNS TTL of <b>%{dns_ttl}</b> seconds, this protection will take effect within that timeframe, ensuring Cloudflare's edge handles the request and provides DDoS protection for the <b>%{dns_queries}</b> queries hitting this record."
Low,Security.txt not configured,sherohq.com,Configuration suggestion,2026-07-12T05:03:13.565727Z,Active,Security.txt not configured. Configure and manage the Security.txt file to improve the website's vulnerability disclosure process,We evaluated the Security Settings configured for this domain and found that Security.txt is not enabled.,"The absence of Security.txt insights creates a lack of a clear, accessible method for researchers to report vulnerabilities. This can lead to security issues going unnoticed or under-reported, increasing the risk of exploitation.","Configure Security.txt file. "
Moderate,"Domains without ""Always Use HTTPS""",107578670.sherohq.com,Insecure configuration,2026-07-12T05:19:59.270695Z,Active,"Domains without ""Always Use HTTPS"". HTTP requests to your host do not redirect to the equivalent HTTPS request.","We've made an HTTP request on port 80 and received a response, but the response was not a 301 redirect to the corresponding HTTPS URL.",Unencrypted data in transit,Enable Always Use HTTPS. Enable Always Use HTTPS in your zone's Cloudflare SSL/TLS Edge Certificates settings.
Moderate,Domains without HSTS,107578670.sherohq.com,Insecure configuration,2026-07-12T05:19:59.270701Z,Active,"Domains without HSTS. HTTP Strict Transport Security is a header which allows a website to specify and enforce security policy in client web browsers. This policy enforcement protects secure websites from downgrade attacks, SSL stripping, and cookie hijacking.",We have made HTTP and HTTPS requests to your hostname to check for the presence of the Strict-Transport-Security header in the response. We have not detected the correct header in the response.,Unencrypted data in transit,Enable HSTS. Enable HSTS in your zone's Cloudflare SSL/TLS Edge Certificates settings.
Moderate,Domains missing TLS Encryption,107578670.sherohq.com,Compliance violation,2026-07-12T05:19:59.270702Z,Active,Domains missing TLS Encryption. We have detected that there is no TLS encryption for this host.,"Your host accepts HTTP connections on port 80 but does not accept HTTPS connections on port 443. As a result, we have determined that you do not have TLS encryption set up for this host.",Unencrypted data in transit,Set up TLS encryption for your host. Update the SSL/TLS encryption mode to Full (strict) for this zone.
Moderate,Domains without HSTS,email.sherohq.com,Insecure configuration,2026-07-12T05:20:00.495589Z,Active,"Domains without HSTS. HTTP Strict Transport Security is a header which allows a website to specify and enforce security policy in client web browsers. This policy enforcement protects secure websites from downgrade attacks, SSL stripping, and cookie hijacking.",We have made HTTP and HTTPS requests to your hostname to check for the presence of the Strict-Transport-Security header in the response. We have not detected the correct header in the response.,Unencrypted data in transit,Enable HSTS. Enable HSTS in your zone's Cloudflare SSL/TLS Edge Certificates settings.
